food_name,data_type
"Babyfood, dinner, vegetables and dumplings and beef, strained",SR Legacy
"Babyfood, dinner, vegetables and lamb, junior",SR Legacy
"Babyfood, dinner, vegetables and noodles and turkey, junior",SR Legacy
"Babyfood, dinner, vegetables and noodles and turkey, strained",SR Legacy
"Babyfood, dinner, vegetables and turkey, junior",SR Legacy
"Babyfood, dinner, vegetables and turkey, strained",SR Legacy
"Babyfood, dinner, vegetables chicken, strained",SR Legacy
"Babyfood, dinner, vegetables, noodles and chicken, junior",SR Legacy
"Babyfood, dinner, vegetables, noodles and chicken, strained",SR Legacy
"Babyfood, finger snacks, GERBER, GRADUATES, PUFFS, apple and cinnamon",SR Legacy
"Babyfood, fortified cereal bar, fruit filling",SR Legacy
"Babyfood, fruit and vegetable, apple and sweet potato",SR Legacy
"Babyfood, fruit dessert, mango with tapioca",SR Legacy
